taxonomy_id	name	rank	lineage	SRR13439799_k2_pluspf.kraken2.kraken2.report	SRR13439802_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc1DNA_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc1RNA_k2_pluspf.kraken2.kraken2.report	SRR13439802_ntc2DNA_k2_pluspf.kraken2.kraken2.report	SRR13439790_k2_pluspf.kraken2.kraken2.report	SRR13439813_k2_pluspf.kraken2.kraken2.report
222544	Sordariomycetidae	subclass	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae	0	0	0	0	0	0	0
5139	Sordariales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales	0	2	2	2	2	0	7
35718	Chaetomiaceae	family	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae	0	8	8	8	8	0	4
1920207	Thermothelomyces	genus	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae;Thermothelomyces	0	0	0	0	0	0	0
78579	Thermothelomyces thermophilus	species	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces thermophilus	0	0	0	0	0	0	0
573729	Thermothelomyces thermophilus ATCC 42464	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces thermophilus;Thermothelomyces thermophilus ATCC 42464	1	3	3	3	3	0	7
639021	Magnaporthales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Magnaporthales	0	0	0	0	0	0	0
2528436	Pyriculariaceae	family	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Magnaporthales;Pyriculariaceae	0	0	0	0	0	0	0
48558	Pyricularia	genus	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Magnaporthales;Pyriculariaceae;Pyricularia	0	0	0	0	0	0	8
1578925	Pyricularia pennisetigena	species	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Sordariomycetidae;Magnaporthales;Pyriculariaceae;Pyricularia;Pyricularia pennisetigena	1	0	0	0	0	2	5
2698737	Sar	clade	Eukaryota;Sar	0	0	0	0	0	0	0
33630	Alveolata	clade	Eukaryota;Sar	0	0	0	0	0	0	0
5794	Apicomplexa	phylum	Eukaryota;Sar;Apicomplexa	0	2	2	2	2	1	0
422676	Aconoidasida	class	Eukaryota;Sar;Apicomplexa;Aconoidasida	0	0	0	0	0	0	0
5819	Haemosporida	order	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida	0	0	0	0	0	0	0
1639119	Plasmodiidae	family	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae	0	0	0	0	0	0	0
5820	Plasmodium	genus	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium	0	2	2	2	2	0	0
418101	Plasmodium (Vinckeia)	subgenus	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Vinckeia)	0	1	1	1	1	0	1
5821	Plasmodium berghei	species	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Vinckeia);Plasmodium berghei	0	0	0	0	0	0	0
5823	Plasmodium berghei ANKA	strain	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Vinckeia);Plasmodium berghei;Plasmodium berghei ANKA	1	0	0	0	0	0	0
5860	Plasmodium vinckei	species	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Vinckeia);Plasmodium vinckei	0	0	0	0	0	0	0
54757	Plasmodium vinckei vinckei	subspecies	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Vinckeia);Plasmodium vinckei;Plasmodium vinckei vinckei	1	8	8	8	8	0	1
418103	Plasmodium (Plasmodium)	subgenus	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Plasmodium)	0	0	0	0	0	0	0
5855	Plasmodium vivax	species	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Plasmodium);Plasmodium vivax	1	8	8	8	8	0	0
418104	Plasmodium (Haemamoeba)	subgenus	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Haemamoeba)	0	0	0	0	0	0	0
85471	Plasmodium relictum	species	Eukaryota;Sar;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Haemamoeba);Plasmodium relictum	1	3	3	3	3	0	2
554915	Amoebozoa	clade	Eukaryota;Amoebozoa	0	0	0	0	0	0	0
2605435	Evosea	phylum	Eukaryota;Amoebozoa;Evosea	0	0	0	0	0	0	0
142796	Eumycetozoa	class	Eukaryota;Amoebozoa;Evosea;Eumycetozoa	0	0	0	0	0	0	0
33083	Dictyostelia	clade	Eukaryota;Evosea;Eumycetozoa;Amoebozoa	0	0	0	0	0	0	0
2058949	Dictyosteliales	order	Eukaryota;Evosea;Eumycetozoa;Amoebozoa;Dictyosteliales	0	0	0	0	0	0	0
2058185	Dictyosteliaceae	family	Eukaryota;Evosea;Eumycetozoa;Amoebozoa;Dictyosteliales;Dictyosteliaceae	0	0	0	0	0	0	0
5782	Dictyostelium	genus	Eukaryota;Evosea;Eumycetozoa;Amoebozoa;Dictyosteliales;Dictyosteliaceae;Dictyostelium	0	0	0	0	0	0	0
44689	Dictyostelium discoideum	species	Eukaryota;Evosea;Eumycetozoa;Amoebozoa;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum	0	0	0	0	0	0	0
352472	Dictyostelium discoideum AX4	strain	Eukaryota;Evosea;Eumycetozoa;Amoebozoa;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum;Dictyostelium discoideum AX4	1	0	0	0	0	1	0
2	Bacteria	superkingdom	Bacteria	3	161	161	161	161	117	1615
1783270	FCB group	clade	Bacteria;FCB group	0	0	0	0	0	0	0
68336	Bacteroidota/Chlorobiota group	clade	Bacteria;FCB group	0	0	0	0	0	1	8
976	Bacteroidota	phylum	Bacteria;FCB group;Bacteroidota	0	1	1	1	1	13	448
117743	Flavobacteriia	class	Bacteria;FCB group;Bacteroidota;Flavobacteriia	0	0	0	0	0	0	0
200644	Flavobacteriales	order	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales	0	18	18	18	18	7	129
49546	Flavobacteriaceae	family	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	0	1	1	1	1	0	83
237	Flavobacterium	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0	0	0	0	0	0	63
196869	unclassified Flavobacterium	no rank	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0	1	1	1	1	0	35
2986823	Flavobacterium sp. N1736	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. N1736	1	0	0	0	0	0	6
104267	Tenacibaculum	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum	0	0	0	0	0	0	1
584609	Tenacibaculum jejuense	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum jejuense	1	0	0	0	0	0	2
143222	Salegentibacter	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter	0	0	0	0	0	0	1
270918	Salegentibacter mishustinae	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;Salegentibacter mishustinae	1	0	0	0	0	0	0
768503	Cytophagia	class	Bacteria;FCB group;Bacteroidota;Cytophagia	0	0	0	0	0	0	0
768507	Cytophagales	order	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales	0	0	0	0	0	0	14
2762301	Marivirgaceae	family	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Marivirgaceae	0	0	0	0	0	0	0
869806	Marivirga	genus	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Marivirgaceae;Marivirga	0	0	0	0	0	0	4
2010992	Marivirga harenae	species	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Marivirgaceae;Marivirga;Marivirga harenae	1	0	0	0	0	0	4
