SRR13439799.18	0	0
SRR13439799.22	0	0
SRR13439799.37	0	0
SRR13439799.55	0	0
SRR13439799.58	0	0
SRR13439799.68	0	0
SRR13439799.79	0	0
SRR13439799.102	0	0
SRR13439799.103	0	0
SRR13439799.124	0	0
SRR13439799.127	1491	2.24e-21
SRR13439799.129	0	0
SRR13439799.131	0	0
SRR13439799.135	0	0
SRR13439799.165	0	0
SRR13439799.192	0	0
SRR13439799.200	0	0
SRR13439799.247	0	0
SRR13439799.264	0	0
SRR13439799.268	0	0
SRR13439799.275	0	0
SRR13439799.277	0	0
SRR13439799.289	0	0
SRR13439799.290	0	0
SRR13439799.291	0	0
SRR13439799.317	0	0
SRR13439799.341	0	0
SRR13439799.352	0	0
SRR13439799.356	0	0
SRR13439799.375	0	0
SRR13439799.388	0	0
SRR13439799.403	0	0
SRR13439799.404	0	0
SRR13439799.470	0	0
SRR13439799.473	0	0
SRR13439799.488	0	0
SRR13439799.493	0	0
SRR13439799.511	0	0
SRR13439799.524	0	0
SRR13439799.532	0	0
SRR13439799.569	0	0
SRR13439799.570	0	0
SRR13439799.577	0	0
SRR13439799.641	0	0
SRR13439799.643	0	0
SRR13439799.650	1491	2.29e-20
SRR13439799.651	1491	1.27e-06
SRR13439799.706	0	0
SRR13439799.726	0	0
SRR13439799.743	11320	7.81e-28
SRR13439799.752	0	0
SRR13439799.755	0	0
SRR13439799.770	0	0
SRR13439799.774	0	0
SRR13439799.788	0	0
SRR13439799.789	0	0
SRR13439799.793	0	0
SRR13439799.808	0	0
SRR13439799.845	0	0
SRR13439799.861	0	0
SRR13439799.872	0	0
SRR13439799.877	0	0
SRR13439799.880	0	0
SRR13439799.884	0	0
SRR13439799.886	0	0
SRR13439799.921	0	0
SRR13439799.955	0	0
SRR13439799.957	0	0
SRR13439799.960	0	0
SRR13439799.967	0	0
SRR13439799.974	0	0
SRR13439799.981	0	0
SRR13439799.984	0	0
SRR13439799.1065	0	0
SRR13439799.1094	0	0
SRR13439799.1103	0	0
SRR13439799.1113	9606	4.90e-13
SRR13439799.1135	0	0
SRR13439799.1152	0	0
SRR13439799.1153	0	0
SRR13439799.1169	0	0
SRR13439799.1179	0	0
SRR13439799.1205	0	0
SRR13439799.1214	0	0
SRR13439799.1219	0	0
SRR13439799.1253	0	0
SRR13439799.1259	0	0
SRR13439799.1310	1491	6.85e-23
SRR13439799.1322	0	0
SRR13439799.1353	131567	9.05e-22
SRR13439799.1359	0	0
SRR13439799.1363	0	0
SRR13439799.1380	0	0
SRR13439799.1386	0	0
SRR13439799.1396	0	0
SRR13439799.1416	0	0
SRR13439799.1417	0	0
SRR13439799.1426	0	0
SRR13439799.1449	0	0
SRR13439799.1471	0	0
SRR13439799.1480	0	0
SRR13439799.1490	0	0
SRR13439799.1519	0	0
SRR13439799.1528	0	0
SRR13439799.1537	0	0
SRR13439799.1544	0	0
SRR13439799.1547	0	0
SRR13439799.1550	0	0
SRR13439799.1558	0	0
SRR13439799.1570	0	0
SRR13439799.1575	0	0
SRR13439799.1591	0	0
SRR13439799.1653	0	0
SRR13439799.1673	131567	9.73e-06
SRR13439799.1699	0	0
SRR13439799.1716	0	0
SRR13439799.1725	0	0
SRR13439799.1726	0	0
SRR13439799.1741	0	0
SRR13439799.1756	0	0
SRR13439799.1764	0	0
SRR13439799.1781	0	0
SRR13439799.1783	0	0
SRR13439799.1784	0	0
SRR13439799.1790	0	0
SRR13439799.1822	0	0
SRR13439799.1833	0	0
SRR13439799.1845	0	0
SRR13439799.1867	0	0
SRR13439799.1875	0	0
SRR13439799.1882	0	0
SRR13439799.1886	0	0
SRR13439799.1895	0	0
SRR13439799.1961	0	0
SRR13439799.1967	0	0
SRR13439799.1971	0	0
SRR13439799.1998	0	0
SRR13439799.2002	0	0
SRR13439799.2025	0	0
SRR13439799.2032	0	0
SRR13439799.2038	0	0
SRR13439799.2040	0	0
SRR13439799.2054	0	0
SRR13439799.2055	0	0
SRR13439799.2062	0	0
SRR13439799.2083	0	0
SRR13439799.2091	0	0
SRR13439799.2092	0	0
SRR13439799.2107	0	0
SRR13439799.2126	0	0
SRR13439799.2150	0	0
SRR13439799.2166	0	0
SRR13439799.2171	0	0
SRR13439799.2195	0	0
SRR13439799.2208	0	0
SRR13439799.2212	0	0
SRR13439799.2216	0	0
SRR13439799.2232	0	0
SRR13439799.2240	0	0
SRR13439799.2260	0	0
SRR13439799.2299	0	0
SRR13439799.2315	0	0
SRR13439799.2316	0	0
SRR13439799.2319	0	0
SRR13439799.2327	0	0
SRR13439799.2342	0	0
SRR13439799.2378	0	0
SRR13439799.2387	0	0
SRR13439799.2418	0	0
SRR13439799.2424	0	0
SRR13439799.2435	0	0
SRR13439799.2489	0	0
SRR13439799.2497	0	0
SRR13439799.2503	0	0
SRR13439799.2519	0	0
SRR13439799.2528	0	0
SRR13439799.2530	0	0
SRR13439799.2540	0	0
SRR13439799.2547	0	0
SRR13439799.2554	0	0
SRR13439799.2556	0	0
SRR13439799.2567	0	0
SRR13439799.2585	0	0
SRR13439799.2593	0	0
SRR13439799.2621	0	0
SRR13439799.2638	0	0
