taxonomy_id	name	rank	lineage	SRR13439790	SRR13439790_vs_NTC	SRR13439802_ntc1DNA
399	Neorhizobium galegae	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Neorhizobium;Neorhizobium galegae	1	in_sample	0
407	Methylobacterium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium	0	in_NTC	96
408	Methylorubrum extorquens	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum extorquens	0	in_NTC	205
433	Acetobacteraceae	family	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	0	in_NTC	1
445	Legionella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	0	in_NTC	1
451	Legionella micdadei	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella micdadei	0	in_NTC	1
468	Moraxellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae	0	in_NTC	5
469	Acinetobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	0	in_NTC	20
470	Acinetobacter baumannii	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii	1	< NTC	103
475	Moraxella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella	0	in_NTC	12
480	Moraxella catarrhalis	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella catarrhalis	0	in_NTC	10
481	Neisseriaceae	family	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	0	in_NTC	2
482	Neisseria	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0	in_NTC	4
485	Neisseria gonorrhoeae	species	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae	0	in_NTC	1
487	Neisseria meningitidis	species	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis	0	in_NTC	6
495	Neisseria elongata	species	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata	0	in_NTC	5
497	Psychrobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter	1	< NTC	11
506	Alcaligenaceae	family	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	1	in_sample	0
518	Bordetella bronchiseptica	species	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella bronchiseptica	0	in_NTC	1
519	Bordetella parapertussis	species	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella parapertussis	0	in_NTC	1
520	Bordetella pertussis	species	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis	0	in_NTC	1
522	Acidiphilium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium	0	in_NTC	1
535	Chromobacterium	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium	0	in_NTC	1
542	Zymomonas mobilis	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Zymomonadaceae;Zymomonas;Zymomonas mobilis	0	in_NTC	1
543	Enterobacteriaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0	in_NTC	16
546	Citrobacter freundii	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter freundii	1	in_sample	0
547	Enterobacter	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	0	in_NTC	1
549	Pantoea agglomerans	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans group;Pantoea agglomerans	0	in_NTC	1
553	Pantoea ananatis	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea ananatis	0	in_NTC	1
562	Escherichia coli	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	in_NTC	18
563	Shimwellia blattae	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shimwellia;Shimwellia blattae	0	in_NTC	2
570	Klebsiella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	1	in_sample	0
573	Klebsiella pneumoniae	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	1	< NTC	3
583	Proteus	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus	1	in_sample	0
633	Yersinia pseudotuberculosis	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis complex;Yersinia pseudotuberculosis	0	in_NTC	1
641	Vibrionaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae	0	in_NTC	1
644	Aeromonas hydrophila	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas hydrophila	0	in_NTC	10
