taxonomy_id	name	rank	lineage	SRR13439790	SRR13439790_vs_NTC	SRR13439802_ntc1DNA
1016	Capnocytophaga	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	2	in_sample	0
1017	Capnocytophaga gingivalis	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis	2	in_sample	0
1084	Pararhodospirillum photometricum	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum	43	> NTC	5
1161	Nostocales	order	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales	0	in_NTC	1
1224	Pseudomonadota	phylum	Bacteria;Pseudomonadota	22	< NTC	272
1236	Gammaproteobacteria	class	Bacteria;Pseudomonadota;Gammaproteobacteria	3	< NTC	61
1239	Bacillota	phylum	Bacteria;Terrabacteria group;Bacillota	290	< NTC	423
1268	Micrococcaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	2	< NTC	6
1279	Staphylococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	7	> NTC	2
1280	Staphylococcus aureus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	1238	< NTC	4770
1283	Staphylococcus haemolyticus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus	2	> NTC	1
1300	Streptococcaceae	family	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	4	in_sample	0
1301	Streptococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	225	in_sample	0
1303	Streptococcus oralis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	0	in_NTC	1
1304	Streptococcus salivarius	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius	6	in_sample	0
1307	Streptococcus suis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	1	in_sample	0
1382	Lancefieldella parvula	species	Bacteria;Terrabacteria group;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula	3	in_sample	0
1385	Bacillales	order	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales	52	> NTC	2
1428	Bacillus thuringiensis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis	3	< NTC	35
1491	Clostridium botulinum	species	Bacteria;Terrabacteria group;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium botulinum	471	< NTC	1689
1613	Limosilactobacillus fermentum	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus fermentum	1	in_sample	0
1654	Actinomyces	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	3	in_sample	0
1660	Schaalia odontolytica	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia odontolytica	5	in_sample	0
1678	Bifidobacterium	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	3	in_sample	0
1716	Corynebacterium	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	2	equal	2
1760	Actinomycetes	class	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes	29	> NTC	3
1762	Mycobacteriaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae	2	> NTC	1
1827	Rhodococcus	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus	0	in_NTC	2
1839	Nocardioides	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides	1	in_sample	0
1847	Pseudonocardia	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	0	in_NTC	2
2040	Aeromicrobium	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Aeromicrobium	0	in_NTC	1
2047	Rothia dentocariosa	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia dentocariosa	1	in_sample	0
2049	Actinomycetaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	31	in_sample	0
2053	Gordonia	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia	0	in_NTC	1
2060	Tsukamurella	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Tsukamurellaceae;Tsukamurella	0	in_NTC	1
2061	Tsukamurella paurometabola	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Tsukamurellaceae;Tsukamurella;Tsukamurella paurometabola	0	in_NTC	10
2062	Streptomycetaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae	2	in_sample	0
2093	Mycoplasma	genus	Bacteria;Terrabacteria group;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	4	> NTC	1
2296	Desulforapulum autotrophicum	species	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulforapulum;Desulforapulum autotrophicum	0	in_NTC	1
2736	Verrucomicrobium spinosum	species	Bacteria;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium;Verrucomicrobium spinosum	0	in_NTC	1
2759	Eukaryota	superkingdom	Eukaryota	872	< NTC	3793
2836	Bacillariophyta	phylum	Eukaryota;Sar;Bacillariophyta	0	in_NTC	2
4890	Ascomycota	phylum	Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota	1	equal	1
4892	Saccharomycetales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta;Saccharomycotina;Saccharomycetes;Saccharomycetales	1	< NTC	381
4893	Saccharomycetaceae	family	Eukaryota;Fungi;Dikarya;Ascomycota;Opisthokonta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	1	< NTC	2
5042	Eurotiales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Eurotiomycetes;Eurotiomycetidae;Eurotiales	1	< NTC	8
5052	Aspergillus	genus	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus	0	in_NTC	10
5125	Hypocreales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales	0	in_NTC	3
5204	Basidiomycota	phylum	Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota	0	in_NTC	3
5296	Puccinia	genus	Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia	0	in_NTC	4
5506	Fusarium	genus	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium	0	in_NTC	12
5863	Piroplasmida	order	Eukaryota;Sar;Apicomplexa;Aconoidasida;Piroplasmida	0	in_NTC	15
5866	Babesia bigemina	species	Eukaryota;Sar;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia bigemina	22	< NTC	127
9606	Homo sapiens	species	Eukaryota;Metazoa;Chordata;Craniata;Sarcopterygii;Mammalia;Opisthokonta;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens	25330	> NTC	19517
10804	adeno-associated virus 2	no rank	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Dependoparvovirus;Dependoparvovirus primate1	2	in_sample	0
11320	Influenza A virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	2	in_sample	0
11632	Retroviridae	family	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae	1	equal	1
